biome * ffffff ffffff ffffff
biome 106 ffffff b9b953 a7a529
biome 107 ffff77 ccc9ad d7dbb6
biome 108 ffffff 79c05a 59ae30
biome 109 ffffff bfb755 aea42a
biome 110 ffffff bfb755 aea42a
biome 111 ffffff bfb755 aea42a
biome 112 ffffff bfb755 aea42a
biome 113 ffffff bfb755 aea42a
biome 114 ffffff bfb755 aea42a
biome 115 ffffff bfb755 aea42a
biome 116 ffffff 83bd65 65ab3e
biome 117 ffffff 82c245 64b216
biome 118 ffffff 80b497 60a17b
biome 126 ffffff 8eb971 71a74d
biome 127 ffffff bfb755 aea42a
biome 129 ffffff 91bd59 77ab2f
biome 130 ffffff bfb755 aea42a
biome 131 ffffff 8ab689 6da36b
biome 132 ffffff 79c05a 59ae30
biome 133 ffffff 86b783 68a464
biome 134 e0ffae 6a7039 6a7039
biome 140 ffffff 80b497 60a17b
biome 149 ffffff 59c93c 30bb0b
biome 151 ffffff 64c73f 3eb80f
biome 155 ffffff 88bb66 6ba940
biome 156 ffffff 88bb66 6ba940
biome 157 ffffff 507a32 59ae30
biome 158 ffffff 80b497 60a17b
biome 160 ffffff 86b783 68a464
biome 161 ffffff 86b783 68a464
biome 162 ffffff 8ab689 6da36b
biome 163 ffffff bfb755 aea42a
biome 164 ffffff bfb755 aea42a
biome 165 ffffff 90814d 9e814d
biome 166 ffffff 90814d 9e814d
biome 167 ffffff 90814d 9e814d
biome 170 ffffff 79c05a 59ae30
blocktype * * normal
blocktype 2 * grass
blocktype 8 * water
blocktype 9 * water
blocktype 18 * leaves
blocktype 18 1 opaque
blocktype 18 2 opaque
blocktype 31 * grass
blocktype 106 * foliage
blocktype 169 * grass
blocktype 1920 * grass
blocktype 1923 * opaque
blocktype 1924 * opaque
blocktype 1925 * foliage
blocktype 1926 * opaque
blocktype 1932 * foliage
blocktype 1962 * leaves
blocktype 2164 * leaves
blocktype 2177 * leaves
blocktype 2200 * opaque
blocktype 2204 * leaves
blocktype 3257 * opaque
blocktype 3258 * opaque
blocktype 3259 * leaves
blocktype 3272 * opaque
blocktype 3278 * opaque
block * * 00000000
block 1 * ff7d7d7d
block 2 * ff939393
block 3 * ff866043
block 3 2 ff5a3f1c
block 4 * ff7a7a7a
block 5 * ff9c7f4e
block 5 1 ff674d2e
block 5 2 ffc3b37b
block 5 3 ff9a6e4d
block 5 4 ffa95b33
block 5 5 ff3d2712
block 6 * 6438561c
block 6 0 6b476625
block 6 1 53333a21
block 6 2 6b769654
block 6 3 55305612
block 6 4 4b727314
block 6 8 6b476625
block 6 9 53333a21
block 6 10 6b769654
block 6 11 55305612
block 6 12 4b727314
block 7 * ff535353
block 8 * b32f43f4
block 9 * b32f43f4
block 10 * ffd1520e
block 11 * ffd1520e
block 12 * ffdbd3a0
block 12 1 ffa95821
block 13 * ff7e7c7a
block 14 * ff8f8b7c
block 15 * ff87827e
block 16 * ff737373
block 17 * ff57431a
block 17 0 ff9a7d4d
block 17 1 ff685130
block 17 2 ffb8a679
block 17 3 ff997649
block 17 4 ff665131
block 17 5 ff2d1c0c
block 17 6 ffcecec9
block 17 8 ff665131
block 17 9 ff2d1c0c
block 17 10 ffcecec9
block 17 12 ff665131
block 17 13 ff2d1c0c
block 17 14 ffcecec9
block 18 * ff878787
block 18 1 ff2c452c
block 18 2 ff43582d
block 18 3 ff918e86
block 18 5 ff747474
block 18 7 ff918e86
block 18 9 ff747474
block 18 11 ff918e86
block 18 13 ff747474
block 18 15 ff918e86
block 19 * ffb6b639
block 20 * 46daf0f4
block 21 * ff667086
block 22 * ff264389
block 23 * ff606060
block 23 1 ff565656
block 23 9 ff565656
block 24 * ffdad29e
block 25 * ff644332
block 26 * ffaf7474
block 26 0 ff8e1616
block 26 1 ff8e1616
block 26 2 ff8e1616
block 26 3 ff8e1616
block 26 4 ff8e1616
block 26 5 ff8e1616
block 26 6 ff8e1616
block 26 7 ff8e1616
block 27 * ab9a6846
block 27 0 ab846c48
block 27 1 ab846c48
block 27 2 ab846c48
block 27 3 ab846c48
block 27 4 ab846c48
block 27 5 ab846c48
block 27 6 ab846c48
block 27 7 ab846c48
block 28 * 9b895c50
block 28 0 9b786559
block 28 1 9b786559
block 28 2 9b786559
block 28 3 9b786559
block 28 4 9b786559
block 28 5 9b786559
block 28 6 9b786559
block 28 7 9b786559
block 29 * ff6a665f
block 29 0 ff606060
block 29 1 ff8d9263
block 29 6 ff8d9263
block 29 7 ff8d9263
block 29 8 ff606060
block 29 9 ff606060
block 29 14 ff8d9263
block 29 15 ff8d9263
block 30 * 68dcdcdc
block 31 * 517b4f19
block 31 1 a2747474
block 31 2 4e787878
block 32 * 517b4f19
block 33 * ff6a665f
block 33 0 ff606060
block 33 1 ff998159
block 33 6 ff998159
block 33 7 ff998159
block 33 8 ff606060
block 33 9 ff606060
block 33 14 ff998159
block 33 15 ff998159
block 34 * ff6a665f
block 34 0 ff998159
block 34 1 ff998159
block 34 8 ff998159
block 34 9 ff8d9263
block 35 0 ffdddddd
block 35 1 ffdb7d3e
block 35 2 ffb350bc
block 35 3 ff6a8ac9
block 35 4 ffb1a627
block 35 5 ff41ae38
block 35 6 ffd08499
block 35 7 ff404040
block 35 8 ff9aa1a1
block 35 9 ff2e6e89
block 35 10 ff7e3db5
block 35 11 ff2e388d
block 35 12 ff4f321f
block 35 13 ff35461b
block 35 14 ff963430
block 35 15 ff191616
block 36 * ff998159
block 37 * 60ffff00
block 38 * 60ff0000
block 39 * 198a6953
block 40 * 21c33538
block 41 * fff9ec4e
block 42 * ffdbdbdb
block 43 * ff7a7a7a
block 43 0 ff9f9f9f
block 43 1 ffdad29e
block 43 2 ff9c7f4e
block 43 4 ff926356
block 43 6 ff2c161a
block 43 7 ffece9e2
block 43 8 ff9f9f9f
block 43 9 ffdad29e
block 43 10 ff9c7f4e
block 43 12 ff926356
block 43 14 ff2c161a
block 43 15 ffece9e2
block 44 * ff7a7a7a
block 44 0 ff9f9f9f
block 44 1 ffdad29e
block 44 2 ff9c7f4e
block 44 4 ff926356
block 44 6 ff2c161a
block 44 7 ffece9e2
block 44 8 ff9f9f9f
block 44 9 ffdad29e
block 44 10 ff9c7f4e
block 44 12 ff926356
block 44 14 ff2c161a
block 44 15 ffece9e2
block 45 * ff926356
block 46 * ff82412f
block 47 * ff9c7f4e
block 48 * ff677967
block 49 * ff14121d
block 50 * 13826a3a
block 51 * 88c97113
block 52 * 9b1a2731
block 53 * ff9c7f4e
block 54 * ff9c7f4e
block 55 * 35efefef
block 56 * ff818c8f
block 57 * ff61dbd5
block 58 * ff6b472a
block 59 * a6566607
block 59 0 0500b312
block 59 1 1312ac0f
block 59 2 2b1c890b
block 59 3 4d258b08
block 59 4 672e8007
block 59 5 80427b07
block 59 6 8e507607
block 60 * ff4b280d
block 60 0 ff734b2d
block 61 * ff606060
block 62 * ff606060
block 63 * ff9c7f4e
block 64 * ff866532
block 65 * 8f795f34
block 66 * 6b786b56
block 66 0 8f796c58
block 66 1 8f796c58
block 66 2 8f796c58
block 66 3 8f796c58
block 66 4 8f796c58
block 66 5 8f796c58
block 67 * ff7a7a7a
block 68 * ff9c7f4e
block 69 * 136a5940
block 70 * ff7d7d7d
block 71 * ffa3a3a3
block 72 * ff9c7f4e
block 73 * ff846b6b
block 74 * ff846b6b
block 75 * 135d3e26
block 76 * 19a74b29
block 77 * ff7d7d7d
block 78 * ffeffbfb
block 79 * 9f7dadff
block 80 * ffeffbfb
block 81 * c30d6318
block 82 * ff9ea4b0
block 83 * 8c94c065
block 84 * ff6b4937
block 85 * ff9c7f4e
block 86 * ffc07615
block 87 * ff6f3634
block 88 * ff544033
block 89 * ff8f7645
block 90 * bf580ac0
block 91 * ffc07615
block 92 * c3e4cdce
block 93 * ff979393
block 94 * ffa09393
block 95 0 7bffffff
block 95 1 7bd87e32
block 95 2 7bb24bd8
block 95 3 7b6599d8
block 95 4 7be4e432
block 95 5 7b7ecb18
block 95 6 7bf17ea4
block 95 7 7b4b4b4b
block 95 8 7b999999
block 95 9 7b4b7e99
block 95 10 7b7e3eb2
block 95 11 7b324bb2
block 95 12 7b654b32
block 95 13 7b657e32
block 95 14 7b993232
block 95 15 7b181818
block 96 * db7e5d2d
block 97 * ff7d7d7d
block 97 1 ff7a7a7a
block 97 2 ff7a7a7a
block 97 3 ff72776a
block 97 4 ff767676
block 97 5 ff767676
block 98 * ff7a7a7a
block 98 1 ff72776a
block 98 2 ff767676
block 98 3 ff767676
block 99 * ff8d6a53
block 99 0 ffcaab78
block 99 10 ffcaab78
block 99 11 ffcaab78
block 99 12 ffcaab78
block 99 13 ffcaab78
block 99 15 ffcfccc2
block 100 * ffb62524
block 100 0 ffcaab78
block 100 10 ffcaab78
block 100 11 ffcaab78
block 100 12 ffcaab78
block 100 13 ffcaab78
block 100 15 ffcfccc2
block 101 * 736d6c6a
block 102 0 46cde1e5
block 102 1 46c26000
block 102 2 46aa2d9d
block 102 3 46789deb
block 102 4 46b8ae1e
block 102 5 463eb546
block 102 6 46b8799c
block 102 7 46444b4c
block 102 8 468b999b
block 102 9 46479c94
block 102 10 466d347a
block 102 11 46363c7a
block 102 12 466d3c1e
block 102 13 463c621b
block 102 14 469b2020
block 102 15 46191c1c
block 103 * ff979924
block 104 0 22009900
block 104 1 22139402
block 104 2 22268f04
block 104 3 22398a07
block 104 4 224c8509
block 104 5 2260810c
block 104 6 22737c0e
block 104 7 22867710
block 104 8 22007213
block 104 9 22136d15
block 104 10 22266918
block 104 11 2239641a
block 104 12 224c5f1c
block 104 13 22605a1f
block 104 14 22735521
block 104 15 22865124
block 105 0 22009900
block 105 1 22139402
block 105 2 22268f04
block 105 3 22398a07
block 105 4 224c8509
block 105 5 2260810c
block 105 6 22737c0e
block 105 7 22867710
block 105 8 22007213
block 105 9 22136d15
block 105 10 22266918
block 105 11 2239641a
block 105 12 224c5f1c
block 105 13 22605a1f
block 105 14 22735521
block 105 15 22865124
block 106 * 8a6f6f6f
block 107 * ff9c7f4e
block 108 * ff926356
block 109 * ff7a7a7a
block 110 * ff6f6369
block 111 * 930e3b16
block 112 * ff2c161a
block 113 * ff2c161a
block 114 * ff2c161a
block 115 * cc6f1211
block 115 0 2a6a0e1e
block 115 1 786c0f16
block 115 2 786c0f16
block 116 * ff67403b
block 117 * 767c6751
block 118 * 6f454545
block 119 * bf580ac0
block 120 * ff597560
block 121 * ffdddfa5
block 122 * ff0c090f
block 123 * ff462b1a
block 124 * ff775937
block 125 * ff9c7f4e
block 125 1 ff674d2e
block 125 2 ffc3b37b
block 125 3 ff9a6e4d
block 125 4 ffa95b33
block 125 5 ff3d2712
block 125 9 ff674d2e
block 125 10 ffc3b37b
block 125 11 ff9a6e4d
block 125 12 ffa95b33
block 125 13 ff3d2712
block 126 * ff9c7f4e
block 126 1 ff674d2e
block 126 2 ffc3b37b
block 126 3 ff9a6e4d
block 126 4 ffa95b33
block 126 5 ff3d2712
block 126 9 ff674d2e
block 126 10 ffc3b37b
block 126 11 ff9a6e4d
block 126 12 ffa95b33
block 126 13 ff3d2712
block 127 * 8391501e
block 128 * ffdad29e
block 129 * ff6d8074
block 130 * ff14121d
block 131 * 2d8a8171
block 132 * 08818181
block 133 * ff51d975
block 134 * ff674d2e
block 135 * ffc3b37b
block 136 * ff9a6e4d
block 137 * ffb2896f
block 138 * ff74ddd7
block 139 * ff7a7a7a
block 139 1 ff677967
block 140 * 31764133
block 141 * 6f158002
block 141 0 0901ab10
block 141 1 0901ab10
block 141 2 1701bb0f
block 141 3 1701bb0f
block 141 4 3600be10
block 141 5 3600be10
block 141 6 3600be10
block 142 * 6922aa24
block 142 0 0901ab10
block 142 1 0901ab10
block 142 2 1701bb0f
block 142 3 1701bb0f
block 142 4 3600be10
block 142 5 3600be10
block 142 6 3600be10
block 143 * ff9c7f4e
block 144 * ff544033
block 145 * ff404040
block 146 * ff9c7f4e
block 147 * fff9ec4e
block 148 * ffdbdbdb
block 149 * ff9c9695
block 149 8 ffa59594
block 149 9 ffa59594
block 149 10 ffa59594
block 149 11 ffa59594
block 149 12 ffa59594
block 149 13 ffa59594
block 149 14 ffa59594
block 149 15 ffa59594
block 150 * ffa59594
block 151 * ff82745e
block 152 * ffab1b09
block 153 * ff7d544f
block 154 * 6f454545
block 155 * ffece9e2
block 155 1 ffe7e4db
block 155 2 ffe8e5dd
block 155 3 ffe7e3db
block 155 4 ffe7e3db
block 156 * ffece9e2
block 157 * 9b8d5146
block 157 0 9b685347
block 157 1 9b685347
block 157 2 9b685347
block 157 3 9b685347
block 157 4 9b685347
block 157 5 9b685347
block 157 6 9b685347
block 157 7 9b685347
block 158 * ff606060
block 158 1 ff565656
block 158 9 ff565656
block 159 0 ffd1b2a1
block 159 1 ffa15325
block 159 2 ff95586c
block 159 3 ff716c89
block 159 4 ffba8523
block 159 5 ff677534
block 159 6 ffa14e4e
block 159 7 ff392a23
block 159 8 ff876a61
block 159 9 ff565b5b
block 159 10 ff764656
block 159 11 ff4a3b5b
block 159 12 ff4d3323
block 159 13 ff4c532a
block 159 14 ff8f3d2e
block 159 15 ff251610
block 160 0 7bffffff
block 160 1 7bd87e32
block 160 2 7bb24bd8
block 160 3 7b6599d8
block 160 4 7be4e432
block 160 5 7b7ecb18
block 160 6 7bf17ea4
block 160 7 7b4b4b4b
block 160 8 7b999999
block 160 9 7b4b7e99
block 160 10 7b7e3eb2
block 160 11 7b324bb2
block 160 12 7b654b32
block 160 13 7b657e32
block 160 14 7b993232
block 160 15 7b181818
block 161 * 9a265f0c
block 162 * ff696359
block 162 0 ff9a5b40
block 162 1 ff4e3e29
block 162 2 ff9a5b40
block 162 3 ff4e3e29
block 162 5 ff342817
block 162 7 ff342817
block 162 9 ff342817
block 162 11 ff342817
block 162 13 ff342817
block 162 15 ff342817
block 163 * ffa95b33
block 164 * ff3d2712
block 165 * ff535353
block 166 * ff6c6c6c
block 167 * ff6c6c6c
block 167 1 ff626262
block 167 4 ffaeaa4f
block 168 * ff7e7e7e
block 168 1 ff616161
block 169 * ff7d7d7d
block 170 * ff9d7412
block 170 0 ffa88b10
block 170 1 ffa88b10
block 170 2 ffa88b10
block 170 3 ffa88b10
block 171 0 ffdddddd
block 171 1 ffdb7d3e
block 171 2 ffb350bc
block 171 3 ff6a8ac9
block 171 4 ffb1a627
block 171 5 ff41ae38
block 171 6 ffd08499
block 171 7 ff404040
block 171 8 ff9aa1a1
block 171 9 ff2e6e89
block 171 10 ff7e3db5
block 171 11 ff2e388d
block 171 12 ff4f321f
block 171 13 ff35461b
block 171 14 ff963430
block 171 15 ff191616
block 172 * ff965c42
block 173 * ff121212
block 174 * ffa5c2f5
block 175 * 33416d2b
block 175 1 568e9484
block 175 2 8a7a7a7a
block 175 3 9e7b7b7b
block 175 4 b9454003
block 175 5 9336583b
block 176 * ff7d7d7d
block 177 * ffa3a05a
block 427 0 ff8f7e6e
block 427 1 ff83888b
block 427 2 ff888c8d
block 427 3 ff7c7e86
block 427 4 ff8a8983
block 427 5 ff72868f
block 427 6 ff7b898e
block 428 0 feca7a23
block 428 1 fe8aa5b6
block 428 2 ffa9c2c8
block 428 3 ff6d789a
block 428 4 ffd0c99b
block 428 5 ff89cde8
block 428 6 ff6a9bb8
block 428 7 ffd0c15d
block 428 8 ff949c99
block 428 9 ffcd8e44
block 428 10 ffca5923
block 428 11 fee9e59e
block 428 12 ff297475
block 429 * d97d0404
block 430 * ccfcc501
block 431 * d9083d3d
block 432 * ddfea934
block 433 * e522c0f9
block 434 * e63c0072
block 435 * ccb1b1b1
block 436 * ff333333
block 438 * ff3d5a45
block 438 1 ff375e3e
block 438 2 ff5a746e
block 438 3 ff4c7d64
block 439 * 19283d2e
block 440 * ff333030
block 441 * ff2a2516
block 442 * ff877272
block 442 0 ff8f8181
block 442 1 ff8f8181
block 442 2 ff8f8181
block 443 * a197762b
block 444 0 ff7a7a7a
block 444 1 ff1f2a2b
block 444 2 ff151515
block 444 3 ffabd0f9
block 444 4 ff7a7a7a
block 444 5 87eaeaea
block 444 6 ff7d7c7b
block 444 7 ff787878
block 444 8 ff826b37
block 444 9 ffdbdbb7
block 444 10 ff7b7b7b
block 444 11 ff384132
block 444 12 ff1c4740
block 445 0 3bd7eaed
block 445 1 67d7eaed
block 445 2 63d7eaed
block 445 3 73d4eaed
block 445 4 6ff3dd45
block 445 5 7b332947
block 445 6 5fd9eff3
block 445 7 53e4ce68
block 445 8 5fffaed3
block 445 9 7fd7ecef
block 445 10 871e1e1e
block 446 * ff9b1d42
block 447 * ff303030
block 449 0 ffbebebf
block 449 1 ff985f2f
block 449 2 ff82419b
block 449 3 ff51729b
block 449 4 ffa3a332
block 449 5 ff5d8e1d
block 449 6 ffac647d
block 449 7 ff383838
block 449 8 ff727272
block 449 9 ff3d5d6e
block 449 10 ff5d357f
block 449 11 ff2b3b7d
block 449 12 ff493828
block 449 13 ff4a5a2a
block 449 14 ff692929
block 449 15 ff121212
block 450 0 ffd3d3d4
block 450 1 ffa86934
block 450 2 ff9048ac
block 450 3 ff5b7eac
block 450 4 ffb6b638
block 450 5 ff689e20
block 450 6 ffbf6f8a
block 450 7 ff3e3e3f
block 450 8 ff7e7e7f
block 450 9 ff43687a
block 450 10 ff683b8d
block 450 11 ff2f428a
block 450 12 ff513e2c
block 450 13 ff52642f
block 450 14 ff752e2e
block 450 15 ff141414
block 451 0 ff777778
block 451 1 ff5f3b1d
block 451 2 ff512961
block 451 3 ff334761
block 451 4 ff666620
block 451 5 ff3a5912
block 451 6 ff6c3f4e
block 451 7 ff232323
block 451 8 ff474748
block 451 9 ff263a45
block 451 10 ff3a2150
block 451 11 ff1b254e
block 451 12 ff2d2319
block 451 13 ff2e381a
block 451 14 ff421a1a
block 451 15 ff0b0b0b
block 452 0 ffd1d1d2
block 452 1 ffa76833
block 452 2 ff8f48aa
block 452 3 ff5a7daa
block 452 4 ffb4b438
block 452 5 ff679c20
block 452 6 ffbe6e89
block 452 7 ff3e3e3e
block 452 8 ff7d7d7e
block 452 9 ff436779
block 452 10 ff673b8c
block 452 11 ff2f4189
block 452 12 ff503e2c
block 452 13 ff51632e
block 452 14 ff742d2e
block 452 15 ff141414
block 453 0 fff6f6f7
block 453 1 ffc47b3d
block 453 2 ffa854c8
block 453 3 ff6a93c8
block 453 4 ffd4d441
block 453 5 ff79b825
block 453 6 ffdf82a1
block 453 7 ff494949
block 453 8 ff939394
block 453 9 ff4f798e
block 453 10 ff7945a4
block 453 11 ff374da1
block 453 12 ff5e4934
block 453 13 ff607537
block 453 14 ff883636
block 453 15 ff181818
block 454 0 ff717172
block 454 1 ff5a381c
block 454 2 ff4d265c
block 454 3 ff30435c
block 454 4 ff61611e
block 454 5 ff375411
block 454 6 ff663b4a
block 454 7 ff212121
block 454 8 ff434344
block 454 9 ff243741
block 454 10 ff371f4c
block 454 11 ff19234a
block 454 12 ff2b2118
block 454 13 ff2c3619
block 454 14 ff3e1819
block 454 15 ff0b0b0b
block 455 0 ff5d5d5e
block 455 1 ff4a2e17
block 455 2 ff3f204c
block 455 3 ff28374c
block 455 4 ff505019
block 455 5 ff2d450e
block 455 6 ff54313d
block 455 7 ff1b1b1c
block 455 8 ff373738
block 455 9 ff1d2d36
block 455 10 ff2d1a3e
block 455 11 ff151d3d
block 455 12 ff231b13
block 455 13 ff242c15
block 455 14 ff331414
block 455 15 ff090909
block 456 0 ffa5a5a6
block 456 1 ff845229
block 456 2 ff713886
block 456 3 ff476386
block 456 4 ff8e8e2c
block 456 5 ff517b19
block 456 6 ff96576c
block 456 7 ff313131
block 456 8 ff636363
block 456 9 ff35515f
block 456 10 ff512e6e
block 456 11 ff25336c
block 456 12 ff3f3123
block 456 13 ff404e25
block 456 14 ff5b2424
block 456 15 ff101010
block 457 0 ffa4a4a5
block 457 1 ff835228
block 457 2 ff703885
block 457 3 ff466285
block 457 4 ff8d8d2c
block 457 5 ff517a19
block 457 6 ff95566c
block 457 7 ff303031
block 457 8 ff626263
block 457 9 ff34515f
block 457 10 ff512e6e
block 457 11 ff25336c
block 457 12 ff3f3022
block 457 13 ff404e24
block 457 14 ff5b2424
block 457 15 ff101010
block 458 0 ff6f6f70
block 458 1 ff58371b
block 458 2 ff4c265a
block 458 3 ff2f425a
block 458 4 ff5f5f1d
block 458 5 ff365311
block 458 6 ff643a49
block 458 7 ff212121
block 458 8 ff424243
block 458 9 ff233640
block 458 10 ff361f4a
block 458 11 ff192249
block 458 12 ff2a2117
block 458 13 ff2b3519
block 458 14 ff3d1818
block 458 15 ff0a0a0a
block 459 0 ff202021
block 459 1 ff191008
block 459 2 ff150b1a
block 459 3 ff0d131a
block 459 4 ff1b1b08
block 459 5 ff0f1705
block 459 6 ff1d1015
block 459 7 ff090909
block 459 8 ff131313
block 459 9 ff0a0f13
block 459 10 ff0f0916
block 459 11 ff070a15
block 459 12 ff0c0906
block 459 13 ff0c0f07
block 459 14 ff110707
block 459 15 ff030303
block 460 0 ff5f5f60
block 460 1 ff4c2f17
block 460 2 ff41204d
block 460 3 ff28394d
block 460 4 ff515119
block 460 5 ff2e470e
block 460 6 ff56323e
block 460 7 ff1c1c1c
block 460 8 ff393939
block 460 9 ff1e2e37
block 460 10 ff2e1a40
block 460 11 ff151d3e
block 460 12 ff241c14
block 460 13 ff252d15
block 460 14 ff341415
block 460 15 ff090909
block 461 0 ff1f1f20
block 461 1 ff180f07
block 461 2 ff150a19
block 461 3 ff0d1219
block 461 4 ff1a1a08
block 461 5 ff0f1704
block 461 6 ff1c1014
block 461 7 ff090909
block 461 8 ff121213
block 461 9 ff090f12
block 461 10 ff0f0815
block 461 11 ff070914
block 461 12 ff0b0906
block 461 13 ff0c0e07
block 461 14 ff110607
block 461 15 ff030303
block 462 0 ff626262
block 462 1 ff505051
block 462 2 ff3a3a3a
block 462 3 ff2b2b2c
block 462 4 ff1e1e1f
block 462 5 ff131313
block 462 6 ff080809
block 462 7 ff020203
block 462 8 ff6a4c35
block 462 9 ff573e2c
block 462 10 ff3f2d20
block 462 11 ff2f2218
block 462 12 ff646261
block 462 13 ff535150
block 462 14 ffaea77f
block 462 15 ff8f8a69
block 463 * ff9d968b
block 464 * ff828282
block 464 1 ff977b47
block 464 6 ff8d733f
block 464 7 ff876f40
block 464 8 ff977b47
block 464 9 ff977b47
block 464 10 ff977b47
block 464 11 ff977b47
block 465 0 ffffffff
block 465 1 ffff7f00
block 465 2 ffff00ff
block 465 3 ff007fd8
block 465 4 ffffff00
block 465 5 ff00ff00
block 465 6 ffff99a5
block 465 7 ff7f7f7f
block 465 8 ffcccccc
block 465 9 ff00ffff
block 465 10 ffb233ff
block 465 11 ff0000ff
block 465 12 ff7f3300
block 465 13 ff009900
block 465 14 ffff0000
block 465 15 ff000000
block 466 * ff3e593f
block 467 * ff087c1f
block 468 * ffaeaeae
block 468 1 ffacacac
block 469 * ef191010
block 469 1 c3272727
block 469 6 ef161720
block 469 7 c3272727
block 469 8 ef161720
block 469 9 ef161720
block 469 10 ef161720
block 469 11 ef161720
block 469 12 ff1b1913
block 469 13 ff241f0c
block 469 14 ff1b1913
block 469 15 ff1b1913
block 470 * ef161e20
block 470 0 ef101810
block 470 1 c3272727
block 470 2 ef101810
block 470 3 ef101810
block 470 4 ef101810
block 470 5 ef101810
block 470 7 c3272727
block 470 12 ff1b1913
block 470 13 ff1b1913
block 470 14 ff1b1913
block 470 15 ff1b1913
block 471 * 6f3d3d3d
block 472 * 6f3d3d3d
block 473 * ff361036
block 474 * c3525252
block 475 * ffe1e1e1
block 475 0 ffdbdbdb
block 475 6 ffdbdbdb
block 475 12 ffdbdbdb
